Enhanced lrslib ray discovery log
Started: 2025-07-25 15:02:39
Input: n6data/n6_restart_startingcobasis.ine
Output: n6data/new_rays_from_1381_enhanced.ext
============================================================

[2025-07-25 15:02:39] 🚀 STARTING: Enhanced lrslib ray discovery
[2025-07-25 15:02:39] 📁 INPUT: n6data/n6_restart_startingcobasis.ine
[2025-07-25 15:02:39] 📁 OUTPUT: n6data/new_rays_from_1381_enhanced.ext
[2025-07-25 15:02:39] 📁 LOG: n6data/ray_discovery_enhanced.log
[2025-07-25 15:02:39] 📊 INPUT SIZE: 1220.1 MB
[2025-07-25 15:02:39] ⚡ LAUNCHING: lrslib process with monitoring
[2025-07-25 16:10:40] ⏰ PROGRESS: 4081s elapsed, 0 rays found
[2025-07-25 16:11:10] ⏰ PROGRESS: 4111s elapsed, 0 rays found
[2025-07-25 16:11:40] ⏰ PROGRESS: 4141s elapsed, 0 rays found
[2025-07-25 16:12:10] ⏰ PROGRESS: 4171s elapsed, 0 rays found
[2025-07-25 16:12:40] ⏰ PROGRESS: 4201s elapsed, 0 rays found
[2025-07-25 16:13:10] ⏰ PROGRESS: 4231s elapsed, 0 rays found
[2025-07-25 16:13:40] ⏰ PROGRESS: 4261s elapsed, 0 rays found
[2025-07-25 16:14:10] ⏰ PROGRESS: 4291s elapsed, 0 rays found
[2025-07-25 16:14:40] ⏰ PROGRESS: 4321s elapsed, 0 rays found
[2025-07-25 16:15:10] ⏰ PROGRESS: 4351s elapsed, 0 rays found
[2025-07-25 16:15:40] ⏰ PROGRESS: 4381s elapsed, 0 rays found
[2025-07-25 16:16:10] ⏰ PROGRESS: 4411s elapsed, 0 rays found
[2025-07-25 16:16:40] ⏰ PROGRESS: 4441s elapsed, 0 rays found
[2025-07-25 16:17:10] ⏰ PROGRESS: 4471s elapsed, 0 rays found
[2025-07-25 16:17:40] ⏰ PROGRESS: 4501s elapsed, 0 rays found
[2025-07-25 16:18:10] ⏰ PROGRESS: 4531s elapsed, 0 rays found
[2025-07-25 16:18:40] ⏰ PROGRESS: 4561s elapsed, 0 rays found
[2025-07-25 16:19:10] ⏰ PROGRESS: 4591s elapsed, 0 rays found
[2025-07-25 16:19:40] ⏰ PROGRESS: 4621s elapsed, 0 rays found
[2025-07-25 16:20:10] ⏰ PROGRESS: 4651s elapsed, 0 rays found
[2025-07-25 16:20:40] ⏰ PROGRESS: 4681s elapsed, 0 rays found
[2025-07-25 16:21:10] ⏰ PROGRESS: 4711s elapsed, 0 rays found
[2025-07-25 16:21:40] ⏰ PROGRESS: 4741s elapsed, 0 rays found
[2025-07-25 16:22:10] ⏰ PROGRESS: 4771s elapsed, 0 rays found
[2025-07-25 16:22:40] ⏰ PROGRESS: 4801s elapsed, 0 rays found
[2025-07-25 16:23:10] ⏰ PROGRESS: 4831s elapsed, 0 rays found
[2025-07-25 16:23:40] ⏰ PROGRESS: 4861s elapsed, 0 rays found
[2025-07-25 16:24:10] ⏰ PROGRESS: 4891s elapsed, 0 rays found
[2025-07-25 16:24:40] ⏰ PROGRESS: 4921s elapsed, 0 rays found
[2025-07-25 16:25:10] ⏰ PROGRESS: 4951s elapsed, 0 rays found
[2025-07-25 16:25:40] ⏰ PROGRESS: 4981s elapsed, 0 rays found
[2025-07-25 16:26:10] ⏰ PROGRESS: 5011s elapsed, 0 rays found
[2025-07-25 16:26:40] ⏰ PROGRESS: 5041s elapsed, 0 rays found
[2025-07-25 16:27:10] ⏰ PROGRESS: 5071s elapsed, 0 rays found
[2025-07-25 16:27:40] ⏰ PROGRESS: 5101s elapsed, 0 rays found
[2025-07-25 16:28:10] ⏰ PROGRESS: 5131s elapsed, 0 rays found
[2025-07-25 16:28:40] ⏰ PROGRESS: 5161s elapsed, 0 rays found
[2025-07-25 16:29:10] ⏰ PROGRESS: 5191s elapsed, 0 rays found
[2025-07-25 16:29:40] ⏰ PROGRESS: 5221s elapsed, 0 rays found
[2025-07-25 16:30:10] ⏰ PROGRESS: 5251s elapsed, 0 rays found
[2025-07-25 16:30:40] ⏰ PROGRESS: 5281s elapsed, 0 rays found
[2025-07-25 16:31:10] ⏰ PROGRESS: 5311s elapsed, 0 rays found
[2025-07-25 16:31:40] ⏰ PROGRESS: 5341s elapsed, 0 rays found
[2025-07-25 16:32:10] ⏰ PROGRESS: 5371s elapsed, 0 rays found
[2025-07-25 16:32:40] ⏰ PROGRESS: 5401s elapsed, 0 rays found
[2025-07-25 16:33:10] ⏰ PROGRESS: 5431s elapsed, 0 rays found
[2025-07-25 16:33:40] ⏰ PROGRESS: 5461s elapsed, 0 rays found
[2025-07-25 16:34:10] ⏰ PROGRESS: 5491s elapsed, 0 rays found
[2025-07-25 16:34:40] ⏰ PROGRESS: 5521s elapsed, 0 rays found
[2025-07-25 16:35:10] ⏰ PROGRESS: 5551s elapsed, 0 rays found
[2025-07-25 16:35:40] ⏰ PROGRESS: 5581s elapsed, 0 rays found
[2025-07-25 16:36:10] ⏰ PROGRESS: 5611s elapsed, 0 rays found
[2025-07-25 16:36:40] ⏰ PROGRESS: 5641s elapsed, 0 rays found
[2025-07-25 16:37:10] ⏰ PROGRESS: 5671s elapsed, 0 rays found
[2025-07-25 16:37:40] ⏰ PROGRESS: 5701s elapsed, 0 rays found
[2025-07-25 16:38:10] ⏰ PROGRESS: 5731s elapsed, 0 rays found
[2025-07-25 16:38:40] ⏰ PROGRESS: 5761s elapsed, 0 rays found
[2025-07-25 16:39:10] ⏰ PROGRESS: 5791s elapsed, 0 rays found
[2025-07-25 16:39:40] ⏰ PROGRESS: 5821s elapsed, 0 rays found
[2025-07-25 16:40:10] ⏰ PROGRESS: 5852s elapsed, 0 rays found
